"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"121894","2022-04-24","2022-04-06","large, quiet had a dark green and a dark red circle light side by side not blinking.","Temple","TX, US",""
"121893","2022-04-24","","I believe I am jesus","Orlando","FL, US",""
"121892","2022-04-23","2022-04-22","See below","Storrs, Mansfield","CT, US",""
"121891","2022-04-23","2021-07-04","Had some sort of contact with another entity.","","MI, US",""
"121889","2022-04-23","2022-04-23","1 star observed for 1 min disappeared, then 2 stars a minute later","New York","NY, US",""
"121888","2022-04-23","2022-04-23","Felt weird, looked at sky, saw death star shaped object","Hirzenhain","DE",""
"121887","2022-04-23","2022-04-22","video and stills from video","Murfreesboro","TN, US",""
"121886","2022-04-23","2022-04-04","Crazy clouds all over our town","Valencia","CA, US",""
"121885","2022-04-23","2022-03-10","Up to 5 objects","Murfreesboro","TN, US",""
"121884","2022-04-23","2022-03-10","Up to 5 objects","Murfreesboro","TN, US",""
"121883","2022-04-23","2022-04-23","Observed at 2:15am with colored lights","Newport","NH, US",""
"121882","2022-04-23","2022-04-22","Saw something shoot off about tree level, so fast it was like seeing one of those long exposure car taillight pictures","Yelm","WA, US",""
"121881","2022-04-23","2022-04-22","Last night in tehran 21:31","Tehran","IR",""
"121880","2022-04-23","2000-04-05","Triangle shaped craft","Tyngsboro","MA, US",""
"121879","2022-04-23","2018-04-20","More Lights","Plymouth","GB",""
"121878","2022-04-23","2022-04-21","Large Drone","Berlin","NJ, US",""
"121877","2022-04-23","2021-03-05","North to South","Plymouth","GB",""
"121876","2022-04-23","2022-04-18","I got out of my car and it was right there. it hovered right in front of me  then took off. I was able yo take two pretty clear pictures with my flip","Bullhead City","AZ, US",""
"121875","2022-04-23","2022-02-28","One Big UFO","Plymouth","GB",""
