"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"120479","2022-01-22","2021-10-21","Strange shape shifting at times but then solid","Rose hill","KS, US","20211029204821.jpg20211029201418.jpg20211029203022.jpg20211111190557.jpg20211029201721.jpg"
"120478","2022-01-22","2022-01-08","Random bouncing lights with three stagnant lights that appeared and reappeared","University place","WA, US","trim.87945765D7EE4EA18DE1FAC7C6E2AD96.MOVtrim.770A788FF48A4896B43643ED8B62D1F9.MOV"
"120477","2022-01-22","2022-01-22","Non believer looking for logical explanation","Fredonia","KY, US","trim.33D90B40BDEF486DB7DB53D72286ACEF.MOVtrim.DCEDDB78B5204CCDA68ED9428889DAE5.MOV"
"120476","2022-01-22","1998-07-15","UFO approached and hovered directly over me for about a minute and then flew away.","Midvale","UT, US",""
"120475","2022-01-22","2021-12-23","One, then two silver/whitish orbs at altitude moving unlike any known craft.","Columbia","SC, US","850B0FF31DB143AAA26240FBB5CFFC5E.pngtrim.712C68ABFEBB4F27BF5B322BB0DAD55A.MOVC321FD6A6B7248C69DE00FB0CAD52157.jpeg"
"120474","2022-01-21","2020-08-12","UFO in Central London in the summer of 2020","London","GB","uap2020003.mp4"
"120473","2022-01-21","1978-10-13","Disc-shaped, lights going around, red globe on top.","Walled Lake","MI, US","16428230850495939495644386867615.jpg"
"120472","2022-01-21","2022-01-21","Cigar-shape darker than moonless night sky","Stittsville","ON, CA",""
"120471","2022-01-21","2022-01-21","Silent object, solid body, fixed, unwavering lights","Goldendale","WA, US",""
"120470","2022-01-21","2020-04-15","From my kitchen I saw this orb or light","London","GB","20200415135024.mp420200415135118.mp4"
"120469","2022-01-21","1994-09-15","Gigantic black triangle above city, contrast against setting sun to the west. Massive shape moving slowly in a westerly direction towards the eastern","Lethbridge","AB, CA",""
"120468","2022-01-21","2022-01-19","Took a pic of morning sky it was so pretty. Then I zoomed in and saw this!","Haddonfield","NJ, US","13174473EE124286BA69939912ED09D9.jpegDEF460B3BAAC4939851FA9CA26889AF7.png9036D735EECB442E9CBE07247F1C36CA.png967BD32330674EE9A75D361E411B9C01.png"
"120467","2022-01-21","2022-01-20","unknown flying object with unrealistic acceleration","Pawtucket","RI, US",""
"120466","2022-01-21","2019-01-04","Went to roof for meteor shower, turned corner and the UFO was right there above us.","Brooklyn","NY, US",""
"120464","2022-01-21","2022-01-21","Every night for over a year I experience an event","Belmar","NJ, US","IMG20210923184651645HDR.jpgIMG20210923185050518.jpgIMG20211120202541915.jpgIMG20210530055216.jpgIMG20211026182803841.jpgIMG20210720235240694.jpg"
"120463","2022-01-21","2010-07-24","Appeared to be on roof of my home","kewaunee","WI, US",""
"120462","2022-01-21","2021-12-09","stationary vehicle hovering no noise heard","north miami beach","FL, US","202112091736141.jpg202112091738201.jpg202112091741251.jpg"
"120461","2022-01-21","2022-01-20","Looking out plane window watching what I thought was a star 36,000 ft up took pic","Unknown","PA, US","8FF537D960B84EF1829D822F4871E9F3.jpeg14C7CA92461B4F638103A980BEEE46BF.png59E7733AAE3E4A28834E7FC6C345C566.jpeg"
"120460","2022-01-21","2021-11-09","In digital photo taken at Grand Canyon a green orb darted in changing directions","Grand Canyon","AZ, US","B1E238B61E9145FCAB81767CC1D25EFB1105c.jpeg"
"120459","2022-01-21","2022-01-20","2 Blackhawks following white light. Adsb pulled only showed 2 aircraft.","Middletown durham ct","CT, US",""
