"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"120331","2022-01-14","2022-01-09","Location was Hall Rd and Garfield","Macomb","MI, US",""
"120330","2022-01-14","2022-01-13","Silvery white sphere hovering","kirkby in ashfield","GB",""
"120329","2022-01-14","2018-09-14","Saw a massive black sphere following behind an A380 commercial airliner","Perth","AU",""
"120328","2022-01-14","2021-09-24","Saw three glowing dots in the sky getting followed by planes","Fort mill","SC, US",""
"120327","2022-01-14","2022-01-14","to many,  bright lights appeared at less than half mile tracking towards us at ground level shape shifted into 3 eighteen wheelers and helicopter","washington","LA, US",""
"120326","2022-01-14","2022-01-02","Light beings, transparent beings","Sechelt","BC, CA",""
"120325","2022-01-14","2022-01-14","Saw a silver oval shaped object pass over head.","Adelaide. South Australia.","AU",""
"120324","2022-01-14","2022-01-12","Please take a look at the pics below .. you can see a shiny blue orb in the sky .. I did not notice it at the time of taking the picture.","Burlington","NJ, US",""
"120323","2022-01-13","1992-07-06","Silent egg shape {two objects merging with it, lit up trees as it passed over them}","Jackson","MI, US",""
"120322","2022-01-13","2022-01-11","About inch long perpendicular to the ground and 1/4","Ardmore","OK, US",""
"120321","2022-01-13","2021-12-24","Possible ufo over Teotihuacan ruins","Mexico city","MX",""
"120320","2022-01-13","2021-09-18","Myself and two other witnesses viewed approximately 13 orange luminous orbs traveling 100 feet above the ground in a serial stable formation in an eas","Philadelphia","PA, US",""
"120319","2022-01-13","2022-01-13","White light with one irregular white blink","houston","TX, US",""
"120318","2022-01-13","2019-06-05","A craft that appeared to look like The Millenium Falcon","Westbank","BC, CA",""
"120317","2022-01-13","2022-01-12","Coming towards earth (huge ufo) then instantly disappeared. I feared for my life at one point as it got closer and closer and bigger and bigger.","Los Angeles","CA, US",""
"120316","2022-01-13","2021-08-26","It was at a Christian festival called greenbelt.","East Sussex","GB",""
"120315","2022-01-13","2015-05-10","Star Wars","Aboyne Aberdeenshire","GB",""
"120314","2022-01-13","2020-04-10","Large ball or orb of light hovering above street.","Tucson","AZ, US",""
"120313","2022-01-13","1981-09-01","two oval objects red in color/colour","Port Dover","ON, CA",""
"120312","2022-01-13","2022-01-12","Ball of light","Scott city","MO, US",""
