"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"121178","2022-03-11","2022-01-24","Saw silver white object while driving, my son took random pictures while moving. it vanished in last picture.","Charleston","SC, US",""
"121177","2022-03-11","2022-03-11","Sitting on porch looking for northern lights. Noticed a few visible stars such as Orion belt. At 137 deg SE a light/object was clearly moving in diff","Kalispell","MT, US",""
"121176","2022-03-11","2022-03-09","sphère de couleur grise","Fleurines","FR",""
"121175","2022-03-11","2022-03-10","Glowing Hovering Object  SE Direction Ejects Object Turns to 2 Turn Back to 1 Hover Then N","Fresno","CA, US",""
"121174","2022-03-10","2022-03-10","stationary lights that moved and then disappeared.","Elizabethtown","PA, US",""
"121173","2022-03-10","2022-03-10","I seen a 4 story objects the width of a football field travelling slowing across the lake.","Thunder Bay Unorganized Township","ON, CA",""
"121172","2022-03-10","1970-06-13","A strange but very real fact","Rio de Janeiro","BR",""
"121171","2022-03-10","2022-03-09","3 separate sightings in a couple minutes","Commerce City","CO, US",""
"121170","2022-03-10","2022-03-10","Bright shiny object","Citrus Heights","CA, US",""
"121169","2022-03-10","2022-03-07","Unusual shaped object","Chitchesters, Western Australia","AU",""
"121168","2022-03-10","2022-02-03","Was in front of cloud. Phone lost all charge. Zoomed in to last frame. Looked like a Pacman with appendages","Beenleigh","AU",""
"121167","2022-03-10","2021-05-16","Appeared to be either flashing lights or turning all witnesses agree that it appeared to be turning","Index, WA","WA, US",""
"121166","2022-03-10","2020-06-20","Greenish orb.. drone like was another.. beam.. largest plane I've seen in my life.. have no idea where it took off from","Rockford","AL, US",""
"121165","2022-03-09","2021-05-14","Black triangle escorted by 2 helicopters in Utah","Orem","UT, US",""
"121164","2022-03-09","2017-06-15","Triangular.  Stationary.  Lights noted, but not super bright.  Like TR3B Astra.","Greenville","SC, US",""
"121163","2022-03-09","2021-05-29","White orb that pulsated and changed size","Bay City","MI, US",""
"121162","2022-03-09","2022-03-09","Oval/hexagonal object in sky with what looks like an open","port orange","FL, US",""
"121161","2022-03-09","2022-03-02","Slow moving dumb-bell object appears the disappears slowly","Blue Ridge","GA, US",""
"121160","2022-03-09","2022-03-02","Ball shape object with white light joins others over sun rays.","Blue Ridge","GA, US",""
"121159","2022-03-09","2020-01-07","Red and white pulsating UFO changing altitude and direction and hovering.","Corona","CA, US",""
