"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"120326","2022-01-14","2022-01-02","Light beings, transparent beings","Sechelt","BC, CA",""
"120325","2022-01-14","2022-01-14","Saw a silver oval shaped object pass over head.","Adelaide. South Australia.","AU",""
"120324","2022-01-14","2022-01-12","Please take a look at the pics below .. you can see a shiny blue orb in the sky .. I did not notice it at the time of taking the picture.","Burlington","NJ, US",""
"120323","2022-01-13","1992-07-06","Silent egg shape {two objects merging with it, lit up trees as it passed over them} - {djs}","Jackson","MI, US",""
"120322","2022-01-13","2022-01-11","About inch long perpendicular to the ground and 1/4","Ardmore","OK, US",""
"120321","2022-01-13","2021-12-24","Possible ufo over Teotihuacan ruins","Mexico city","MX",""
"120320","2022-01-13","2021-09-18","Myself and two other witnesses viewed approximately 13 orange luminous orbs traveling 100 feet above the ground in a serial stable formation in an eas","Philadelphia","PA, US",""
"120319","2022-01-13","2022-01-13","White light with one irregular white blink","houston","TX, US",""
"120318","2022-01-13","2019-06-05","A craft that appeared to look like The Millenium Falcon","Westbank","BC, CA",""
"120317","2022-01-13","2022-01-12","Coming towards earth (huge ufo) then instantly disappeared. I feared for my life at one point as it got closer and closer and bigger and bigger.","Los Angeles","CA, US",""
"120316","2022-01-13","2021-08-26","It was at a Christian festival called greenbelt.","East Sussex","GB",""
"120315","2022-01-13","2015-05-10","Star Wars","Aboyne Aberdeenshire","GB",""
"120314","2022-01-13","2020-04-10","Large ball or orb of light hovering above street.","Tucson","AZ, US",""
"120313","2022-01-13","1981-09-01","two oval objects red in color/colour","Port Dover","ON, CA",""
"120312","2022-01-13","2022-01-12","Ball of light","Scott city","MO, US",""
"120311","2022-01-13","2021-11-08","Glowing thing looked like a drone, but was not","Warrenton","MO, US",""
"120310","2022-01-13","2021-01-00","I have been abducted and witness UFOs all the time. I also have photo evidence of ETs","Mint Hill","NC, US",""
"120309","2022-01-13","2021-12-03","String of lights ascending the sky","Marlinton","WV, US",""
"120308","2022-01-13","2022-01-12","5 lights hovering North of Seattle","Port orchard","WA, US",""
"120307","2022-01-13","2022-01-12","Saw something flying behind my house, then over my house, then several miles past my house. Not an airplane. I see those EVERY NIGHT AND DAY.","Dripping Springs","TX, US",""
